name,url,country,lastrevid
Sardar Mohammad Nadir Naeem,https://en.wikipedia.org/wiki/Sardar_Mohammad_Nadir_Naeem,Afghanistan,1204109653.0
Daoud Naji,https://en.wikipedia.org/wiki/Daoud_Naji,Afghanistan,1247131367.0
Gholam Rabani Nasher,https://en.wikipedia.org/wiki/Gholam_Rabani_Nasher,Afghanistan,1136534788.0
Ghulam Faroq Nijrabi,https://en.wikipedia.org/wiki/Ghulam_Faroq_Nijrabi,Afghanistan,1136614778.0
Zabih-U-llah Ghazi Noristani,https://en.wikipedia.org/wiki/Zabih-U-llah_Ghazi_Noristani,Afghanistan,1136614682.0
Mohammed Tahir Omar,https://en.wikipedia.org/wiki/Mohammed_Tahir_Omar,Afghanistan,1185088733.0
Mohammed Qalamuddin,https://en.wikipedia.org/wiki/Mohammed_Qalamuddin,Afghanistan,1178097642.0
Ghulam Mohammad Rigi,https://en.wikipedia.org/wiki/Ghulam_Mohammad_Rigi,Afghanistan,1129192917.0
Ghulam Hassan Safi,https://en.wikipedia.org/wiki/Ghulam_Hassan_Safi,Afghanistan,1176507815.0
Hanifa Safi,https://en.wikipedia.org/wiki/Hanifa_Safi,Afghanistan,1123824802.0
Mohammed Zia Salehi,https://en.wikipedia.org/wiki/Mohammed_Zia_Salehi,Afghanistan,1225457074.0
Abdul Majid Samim,https://en.wikipedia.org/wiki/Abdul_Majid_Samim,Afghanistan,1225425205.0
Saber Sangar,https://en.wikipedia.org/wiki/Saber_Sangar,Afghanistan,1227951669.0
Sayed Nasim Mihanparast,https://en.wikipedia.org/wiki/Sayed_Nasim_Mihanparast,Afghanistan,1172646418.0
Suhail Shaheen,https://en.wikipedia.org/wiki/Suhail_Shaheen,Afghanistan,1198363158.0
Fazal Hadi Shinwari,https://en.wikipedia.org/wiki/Fazal_Hadi_Shinwari,Afghanistan,1242412237.0
Baktash Siawash,https://en.wikipedia.org/wiki/Baktash_Siawash,Afghanistan,1250972393.0
Hasan Ali Sultani,https://en.wikipedia.org/wiki/Hasan_Ali_Sultani,Afghanistan,1136614726.0
Mohammad Hashem Taufiqui,https://en.wikipedia.org/wiki/Mohammad_Hashem_Taufiqui,Afghanistan,1233490009.0
Pacha Gul Wafadar,https://en.wikipedia.org/wiki/Pacha_Gul_Wafadar,Afghanistan,1227179979.0
Wahidullah Waissi,https://en.wikipedia.org/wiki/Wahidullah_Waissi,Afghanistan,1232389768.0
Ahmadullah Wasiq,https://en.wikipedia.org/wiki/Ahmadullah_Wasiq,Afghanistan,1171042170.0
Gul Ahmmad Yama,https://en.wikipedia.org/wiki/Gul_Ahmmad_Yama,Afghanistan,1136614561.0
Abdul Salam Zaeef,https://en.wikipedia.org/wiki/Abdul_Salam_Zaeef,Afghanistan,1243758857.0
Abdul Zahir (Konar Education Minister),https://en.wikipedia.org/wiki/Abdul_Zahir_(Konar_Education_Minister),Afghanistan,1126667481.0
Mohammed Zaman,https://en.wikipedia.org/wiki/Mohammed_Zaman,Afghanistan,1229734414.0
Ziauddin (Afghan militia leader),https://en.wikipedia.org/wiki/Ziauddin_(Afghan_militia_leader),Afghanistan,1150044800.0
Qari Ziauddin,https://en.wikipedia.org/wiki/Qari_Ziauddin,Afghanistan,1245217124.0
